# Array names from reduction file: 
# 	 Col 1: qlam_blank
# 	 Col 2: para_p35_rb_norm
# 	 Col 3: para_p35_err_rb_norm
# Time saved: 2024-03-26 09:15
# Other notes: -
# ---------------------------------------- #
# Wavelength Pol Error 
3.0112815458 0.6784817523 0.0106866782
3.0832120380 0.1456208160 0.0108535240
3.1551425302 -0.0828946441 0.0075627988
3.2270730224 0.4265058654 0.0058680797
3.2990035145 0.7537940934 0.0040643506
3.3709340067 0.5789004856 0.0045664691
3.4428644989 0.3475143098 0.0056027946
3.5147949911 0.3533834512 0.0053249089
3.5867254833 -0.1716191933 0.0052810293
3.6586559754 -0.7049766973 0.0039930587
3.7305864676 -0.6654215078 0.0041596305
3.8025169598 -0.2848484097 0.0051459674
3.8744474520 0.1839464841 0.0053526267
3.9463779442 0.5700858688 0.0047091285
4.0183084363 0.8246118983 0.0037457831
4.0902389285 0.8755973088 0.0035274411
4.1621694207 0.6490235637 0.0046676259
4.2340999129 0.1779151053 0.0057318688
4.3060304051 -0.3632615703 0.0055343956
4.3779608972 -0.7479516239 0.0044472520
4.4498913894 -0.8691365330 0.0037374397
4.5218218816 -0.8239369574 0.0040714144
4.5937523738 -0.6944090717 0.0048055560
4.6656828660 -0.5094267570 0.0054725171
4.7376133582 -0.3277100020 0.0060758508
4.8095438503 -0.1097206239 0.0063416551
4.8814743425 0.1431258932 0.0064451029
4.9534048347 0.4050176589 0.0061949146
5.0253353269 0.6588727528 0.0055466778
5.0972658191 0.8341936730 0.0048069719
5.1691963112 0.8211247273 0.0050471309
5.2411268034 0.5804107884 0.0064556106
5.3130572956 0.1938739446 0.0076068903
5.3849877878 -0.1884782889 0.0075583537
5.4569182800 -0.4950552851 0.0071189682
5.5288487721 -0.7149484198 0.0063529739
5.6007792643 -0.8591684127 0.0054902962
5.6727097565 -0.9232521974 0.0050792644
5.7446402487 -0.9466847357 0.0049384916
5.8165707409 -0.9184575354 0.0054343144
5.8885012330 -0.8689595290 0.0060421606
5.9604317252 -0.7936802134 0.0067841275
6.0323622174 -0.6822497769 0.0077108655
6.1042927096 -0.5499538952 0.0085624767
6.1762232018 -0.4098140916 0.0094515488
6.2481536940 -0.2334710793 0.0101384431
6.3200841861 -0.0386171261 0.0104954528
6.3920146783 0.1018784759 0.0107372923
6.4639451705 0.2685615152 0.0106926446
6.5358756627 0.4048769376 0.0106295844
6.6078061549 0.5313634532 0.0102569803
6.6797366470 0.6520390176 0.0098572494
6.7516671392 0.7499962883 0.0095655698
6.8235976314 0.8022378211 0.0093627465
6.8955281236 0.8550696815 0.0090201679
6.9674586158 0.8903574154 0.0088479800
7.0393891079 0.9242007931 0.0086579025
7.1113196001 0.9724360729 0.0081492092
7.1832500923 0.9835991787 0.0081604110
7.2551805845 0.9792645933 0.0085250381
7.3271110767 0.9856456596 0.0087976016
7.3990415689 0.9880628496 0.0089942333
7.4709720610 0.9821550955 0.0092534769
7.5429025532 0.9670350468 0.0097409923
7.6148330454 0.9382545518 0.0106082867
7.6867635376 0.9040774913 0.0116108018
7.7586940298 0.8821205509 0.0122934586
7.8306245219 0.8743838386 0.0127410085
7.9025550141 0.8613440452 0.0133257230
7.9744855063 0.8040053578 0.0145024212
8.0464159985 0.7240700203 0.0158723290
8.1183464907 0.6806979482 0.0168554331
8.1902769828 0.6537823239 0.0176885898
8.2622074750 0.5967784644 0.0187262213
8.3341379672 0.5235222751 0.0199577398
8.4060684594 0.4485520468 0.0214850585
8.4779989516 0.3256897409 0.0233763678
8.5499294437 0.1202102000 0.0251091809
8.6218599359 -0.0897902980 0.0262792312
8.6937904281 -0.2174068896 0.0276332514
8.7657209203 -0.2574153719 0.0296024410
8.8376514125 -0.2201025195 0.0318508431
8.9095819047 -0.0945482853 0.0339138890
8.9815123968 0.1269766879 0.0349399682
9.0534428890 0.3949310486 0.0338925754
9.1253733812 0.6163682266 0.0312368864
9.1973038734 0.7341763843 0.0289649749
9.2692343656 0.7576568499 0.0283246931
9.3411648577 0.7069838221 0.0294031377
9.4130953499 0.6115831923 0.0313044556
9.4850258421 0.5083091622 0.0330154932
9.5569563343 0.4210777564 0.0341769703
9.6288868265 0.3463139376 0.0351007146
9.7008173186 0.2741503165 0.0360934379
9.7727478108 0.1884706350 0.0371653445
9.8446783030 0.0724808448 0.0380526735
9.9166087952 -0.0763655612 0.0383827685
9.9885392874 -0.2312068709 0.0381603056
10.0604697795 -0.3659711143 0.0377737548
10.1324002717 -0.4702417369 0.0375987502
10.2043307639 -0.5493509654 0.0376440955
10.2762612561 -0.6064550348 0.0378415515
10.3481917483 -0.6487156798 0.0380965149
10.4201222405 -0.6926890061 0.0382180096
10.4920527326 -0.7590394319 0.0378129037
10.5639832248 -0.8532269575 0.0365249814
10.6359137170 -0.9523572247 0.0345550202
10.7078442092 -1.0251010538 0.0328517224
10.7797747014 -1.0492745481 0.0327258041
10.8517051935 -1.0366832332 0.0341047690
10.9236356857 -1.0072978802 0.0362182184
10.9955661779 -0.9801778624 0.0383414388
11.0674966701 -0.9536952210 0.0405188165
11.1394271623 -0.9176359306 0.0430106615
11.2113576544 -0.8610857846 0.0459671310
11.2832881466 -0.7836150012 0.0491384001
11.3552186388 -0.6983986967 0.0520538170
11.4271491310 -0.6196433275 0.0544712278
11.4990796232 -0.5610809603 0.0563643506
11.5710101153 -0.5365706044 0.0578016794
11.6429406075 -0.5623326801 0.0587614799
11.7148710997 -0.6617185972 0.0587439985
