# Array names from reduction file: 
# 	 Col 1: qlam_blank
# 	 Col 2: para_p35_shim_norm
# 	 Col 3: para_p35_shim_norm_errors
# Time saved: 2024-05-02 16:12
# Other notes: -
# ---------------------------------------- #
# Wavelength Shim Error 
4.0307775899 0.9795825558 0.0059419194
4.1289151988 0.9693320193 0.0058829401
4.2270528077 0.9511507079 0.0058423406
4.3251904166 0.9610502605 0.0060190086
4.4233280255 0.9692836421 0.0061307632
4.5214656344 0.9766561929 0.0062672246
4.6196032433 0.9739755503 0.0063435602
4.7177408522 0.9822314883 0.0065712816
4.8158784611 0.9841712085 0.0066486760
4.9140160700 0.9692302085 0.0067341359
5.0121536789 0.9690639269 0.0070335107
5.1102912878 0.9408663924 0.0070636053
5.2084288967 0.9420524274 0.0073133966
5.3065665056 0.9384354644 0.0074857616
5.4047041145 0.9577534065 0.0078501350
5.5028417234 0.9511125104 0.0079974148
5.6009793323 0.9704321473 0.0084682008
5.6991169411 0.9806934939 0.0087669254
5.7972545500 0.9899170476 0.0091426207
5.8953921589 0.9732893139 0.0092635428
5.9935297678 0.9769825191 0.0095648097
6.0916673767 0.9921785896 0.0100982296
6.1898049856 0.9755852245 0.0102442972
6.2879425945 0.9824619201 0.0106444542
6.3860802034 0.9796878473 0.0109926940
6.4842178123 1.0045306559 0.0116039821
6.5823554212 0.9861088382 0.0116864358
6.6804930301 0.9992855695 0.0121925464
6.7786306390 1.0087568016 0.0129117060
6.8767682479 0.9663611402 0.0126348586
6.9749058568 0.9770043305 0.0131851094
7.0730434657 0.9945821973 0.0138039513
7.1711810746 1.0011209854 0.0142504853
7.2693186835 0.9921271316 0.0146740076
7.3674562924 0.9789713493 0.0150930141
7.4655939013 1.0077312711 0.0159788651
7.5637315102 0.9556442103 0.0157134995
7.6618691191 0.9570575754 0.0161961411
7.7600067280 0.9581026862 0.0167422655
7.8581443369 0.9639811716 0.0173877435
7.9562819458 0.9646867332 0.0179298442
8.0544195547 0.9323110198 0.0179529225
8.1525571636 0.9256206355 0.0185946116
8.2506947725 0.9329017389 0.0193857485
8.3488323814 0.9196753098 0.0197206353
8.4469699903 0.8778987185 0.0197149412
8.5451075992 0.8398128307 0.0197143875
8.6432452081 0.7886053707 0.0195589488
8.7413828170 0.7049200495 0.0185257302
8.8395204259 0.6445454605 0.0178942550
8.9376580348 0.6087891476 0.0176832216
9.0357956437 0.5688602307 0.0172095705
9.1339332526 0.5761198537 0.0179366123
9.2320708615 0.6474150189 0.0202644691
9.3302084704 0.7117687080 0.0223706579
9.4283460793 0.7476049838 0.0237495537
9.5264836882 0.7845901068 0.0251576451
9.6246212971 0.8252749665 0.0269261496
9.7227589060 0.8498053005 0.0286571753
9.8208965149 0.8590214627 0.0302185717
9.9190341238 0.8672105561 0.0315573120
10.0171717327 0.8848709831 0.0331047992
10.1153093416 0.9252742708 0.0358918826
10.2134469504 0.9659235798 0.0391108187
10.3115845593 0.9531610147 0.0397304226
10.4097221682 0.9138758689 0.0387746947
10.5078597771 0.9173838297 0.0395661534
10.6059973860 0.9610559333 0.0424977101
10.7041349949 0.9708484983 0.0443479105
10.8022726038 0.9059156499 0.0425828432
10.9004102127 0.8439082632 0.0407994345
10.9985478216 0.8646669580 0.0424873323
11.0966854305 0.9542650710 0.0475062989
11.1948230394 1.0332043040 0.0524469814
11.2929606483 1.0404525406 0.0541339413
11.3910982572 1.0158644934 0.0548897759
11.4892358661 0.9994637624 0.0558082747
11.5873734750 1.0037217465 0.0573167470
11.6855110839 1.0330157356 0.0613487364
11.7836486928 1.0740557037 0.0679319745
11.8817863017 1.0695124716 0.0686552687
11.9799239106 0.9978199022 0.0627472485
