# Array names from reduction file: 
# 	 Col 1: qlam_blank
# 	 Col 2: perp_shim_norm
# 	 Col 3: perp_shim_norm_errors
# Time saved: 2024-04-01 14:23
# Other notes: -
# ---------------------------------------- #
# Wavelength Shim Error 
3.0112815458 0.9809763857 0.0136707928
3.0832120380 2.2336055315 0.0411342882
3.1551425302 5.5630684709 0.0866128467
3.2270730224 3.0111840443 0.0306400113
3.2990035145 1.9928290908 0.0152811456
3.3709340067 1.8328615048 0.0127012584
3.4428644989 2.2549764256 0.0189080337
3.5147949911 2.6990062993 0.0228580903
3.5867254833 1.5744817854 0.0106588968
3.6586559754 1.1305229621 0.0064134312
3.7305864676 1.0514632322 0.0057448695
3.8025169598 1.0262134987 0.0056444752
3.8744474520 1.0209981828 0.0057149079
3.9463779442 1.0147614468 0.0057389227
4.0183084363 1.0079112081 0.0057231794
4.0902389285 1.0113700623 0.0058199404
4.1621694207 1.0040749638 0.0058734538
4.2340999129 0.9949171818 0.0058465253
4.3060304051 0.9906567319 0.0058442798
4.3779608972 1.0075647841 0.0060212291
4.4498913894 1.0086228306 0.0061353185
4.5218218816 1.0061628854 0.0061251359
4.5937523738 1.0097406050 0.0062550292
4.6656828660 1.0072490937 0.0063081813
4.7376133582 1.0074811498 0.0063884064
4.8095438503 1.0004770149 0.0064640144
4.8814743425 1.0042102350 0.0066264213
4.9534048347 1.0076448454 0.0068121270
5.0253353269 1.0065111596 0.0069442915
5.0972658191 0.9842811069 0.0068675365
5.1691963112 0.9878252787 0.0070997508
5.2411268034 0.9981621448 0.0073384398
5.3130572956 0.9810171441 0.0073387363
5.3849877878 0.9816342446 0.0075534734
5.4569182800 0.9980050877 0.0079022056
5.5288487721 0.9994069255 0.0080238484
5.6007792643 0.9975867976 0.0081986084
5.6727097565 0.9995391507 0.0083797182
5.7446402487 1.0027533352 0.0086194104
5.8165707409 1.0034642182 0.0088411714
5.8885012330 0.9950864630 0.0089369496
5.9604317252 0.9946476419 0.0091545029
6.0323622174 1.0060361988 0.0095804855
6.1042927096 1.0052933507 0.0097611598
6.1762232018 1.0017121671 0.0099047323
6.2481536940 0.9925030748 0.0100142371
6.3200841861 0.9840507711 0.0101535556
6.3920146783 1.0008932937 0.0106292702
6.4639451705 1.0096347003 0.0109813959
6.5358756627 0.9999989810 0.0110800536
6.6078061549 0.9934183107 0.0112216095
6.6797366470 1.0009168750 0.0116069056
6.7516671392 1.0040822045 0.0119192607
6.8235976314 0.9887063329 0.0118999551
6.8955281236 0.9797605314 0.0120836481
6.9674586158 0.9880570999 0.0125806748
7.0393891079 0.9945743585 0.0129881208
7.1113196001 0.9862709118 0.0131440544
7.1832500923 0.9903174174 0.0135804919
7.2551805845 0.9984046246 0.0140659738
7.3271110767 0.9953423828 0.0141416724
7.3990415689 0.9938231863 0.0143731836
7.4709720610 0.9923800394 0.0148086062
7.5429025532 0.9887178294 0.0152271685
7.6148330454 0.9962407409 0.0158293646
7.6867635376 0.9987231570 0.0162076519
7.7586940298 0.9817195615 0.0161257367
7.8306245219 0.9755129057 0.0163451559
7.9025550141 0.9939595967 0.0172295242
7.9744855063 1.0143609586 0.0182217884
8.0464159985 1.0245928836 0.0189819791
8.1183464907 1.0196081569 0.0191078141
8.1902769828 1.0057353726 0.0190865196
8.2622074750 0.9831514581 0.0190865085
8.3341379672 0.9551804276 0.0191025038
8.4060684594 0.9262610469 0.0190054525
8.4779989516 0.9116724992 0.0192308617
8.5499294437 0.9149808385 0.0198713382
8.6218599359 0.9058754679 0.0201499379
8.6937904281 0.8555113362 0.0193635594
8.7657209203 0.7942607911 0.0184636685
8.8376514125 0.7603383964 0.0184817135
8.9095819047 0.7525067399 0.0191726676
8.9815123968 0.7519775707 0.0195174522
9.0534428890 0.7575940606 0.0195416738
9.1253733812 0.7844685126 0.0203185621
9.1973038734 0.8369430176 0.0223563114
9.2692343656 0.8886787961 0.0247186545
9.3411648577 0.8977403611 0.0253212727
9.4130953499 0.8776437202 0.0245943781
9.4850258421 0.8683927366 0.0243826294
9.5569563343 0.8876235176 0.0255059677
9.6288868265 0.9251661702 0.0276182364
9.7008173186 0.9623509080 0.0297327270
9.7727478108 0.9871124002 0.0313584940
9.8446783030 0.9871479208 0.0319475716
9.9166087952 0.9576710821 0.0310769290
9.9885392874 0.9303853015 0.0306047154
10.0604697795 0.9329452413 0.0317439164
10.1324002717 0.9736585793 0.0348875262
10.2043307639 1.0314688950 0.0392984601
10.2762612561 1.0601275629 0.0418255856
10.3481917483 1.0334225535 0.0403932854
10.4201222405 0.9864065337 0.0380457405
10.4920527326 0.9499879752 0.0367667414
10.5639832248 0.9340335467 0.0366955108
10.6359137170 0.9358729421 0.0376887312
10.7078442092 0.9514279533 0.0397320699
10.7797747014 0.9742279778 0.0427736264
10.8517051935 1.0024065658 0.0472509203
10.9236356857 1.0306543155 0.0525690827
10.9955661779 1.0466871471 0.0559631319
11.0674966701 1.0445938739 0.0560142800
11.1394271623 1.0269120874 0.0539161243
11.2113576544 0.9992326242 0.0512409254
11.2832881466 0.9685553410 0.0488141438
11.3552186388 0.9408650605 0.0471819692
11.4271491310 0.9172323719 0.0462771087
11.4990796232 0.8966994384 0.0456864781
11.5710101153 0.8804801178 0.0452087268
11.6429406075 0.8752018573 0.0454698553
11.7148710997 0.8985921006 0.0491450497
