# Array names from reduction file: 
# 	 Col 1: qlam_blank
# 	 Col 2: perp_shim_norm
# 	 Col 3: perp_shim_norm_errors
# Time saved: 2024-05-12 13:18
# Other notes: -
# ---------------------------------------- #
# Wavelength Shim Error 
4.0307775899 1.0120616647 0.0057575874
4.1289151988 1.0058703724 0.0058205576
4.2270528077 0.9977271521 0.0058615127
4.3251904166 0.9907044839 0.0058444330
4.4233280255 1.0142653627 0.0061407040
4.5214656344 1.0100150759 0.0061466270
4.6196032433 1.0150404937 0.0063007099
4.7177408522 1.0140591422 0.0064048847
4.8158784611 1.0046773183 0.0064968378
4.9140160700 1.0064231290 0.0067446426
5.0121536789 1.0113746372 0.0069488452
5.1102912878 0.9833622849 0.0068812972
5.2084288967 1.0009072984 0.0072998079
5.3065665056 0.9870508507 0.0073722793
5.4047041145 0.9892214212 0.0076835362
5.5028417234 1.0041493322 0.0080160230
5.6009793323 1.0012778692 0.0082329610
5.6991169411 1.0043815712 0.0085114051
5.7972545500 1.0069411747 0.0087940464
5.8953921589 0.9978776653 0.0089792372
5.9935297678 1.0040784607 0.0094019297
6.0916673767 1.0109417024 0.0098035137
6.1898049856 1.0038195457 0.0099596395
6.2879425945 0.9896195577 0.0101090702
6.3860802034 1.0000673674 0.0105749781
6.4842178123 1.0153931310 0.0111200529
6.5823554212 0.9958141314 0.0111566061
6.6804930301 1.0023835769 0.0116212395
6.7786306390 1.0049011344 0.0120151158
6.8767682479 0.9848290694 0.0120483598
6.9749058568 0.9913687675 0.0126433761
7.0730434657 0.9954685266 0.0131131239
7.1711810746 0.9947282178 0.0135596947
7.2693186835 1.0010502539 0.0141248939
7.3674562924 0.9936034502 0.0142037387
7.4655939013 0.9943060973 0.0148028279
7.5637315102 0.9938727537 0.0154566568
7.6618691191 1.0051954667 0.0162274164
7.7600067280 0.9860436953 0.0162078367
7.8581443369 0.9839291606 0.0166731558
7.9562819458 1.0141227938 0.0180602471
8.0544195547 1.0327885951 0.0192195126
8.1525571636 1.0180099316 0.0191316425
8.2506947725 0.9908354617 0.0191433983
8.3488323814 0.9539339685 0.0192428659
8.4469699903 0.9154232551 0.0190299307
8.5451075992 0.9159049084 0.0198179724
8.6432452081 0.8975483464 0.0200986814
8.7413828170 0.8136793234 0.0187020075
8.8395204259 0.7591931462 0.0184809413
8.9376580348 0.7499161501 0.0193343944
9.0357956437 0.7541385502 0.0194368116
9.1339332526 0.7922874772 0.0205387670
9.2320708615 0.8665354664 0.0235867088
9.3302084704 0.8990590622 0.0252147375
9.4283460793 0.8776093293 0.0243945164
9.5264836882 0.8792277321 0.0247924893
9.6246212971 0.9170699112 0.0270545491
9.7227589060 0.9666708656 0.0299034224
9.8208965149 0.9900677610 0.0317484089
9.9190341238 0.9509547843 0.0306682232
10.0171717327 0.9173161814 0.0302428512
10.1153093416 0.9515605717 0.0331061957
10.2134469504 1.0247735343 0.0384649550
10.3115845593 1.0363965049 0.0402186570
10.4097221682 0.9848536628 0.0380080350
10.5078597771 0.9459424128 0.0369017766
10.6059973860 0.9408970305 0.0378395511
10.7041349949 0.9547468849 0.0400949791
10.8022726038 0.9680869619 0.0426002701
10.9004102127 0.9809586385 0.0456215440
10.9985478216 0.9961914193 0.0487752924
11.0966854305 1.0086073185 0.0513364245
11.1948230394 1.0068971889 0.0520113701
11.2929606483 0.9921154811 0.0505553482
11.3910982572 0.9773123999 0.0494641459
11.4892358661 0.9586161795 0.0490664691
11.5873734750 0.9389921538 0.0496534359
11.6855110839 0.9333291008 0.0528607315
11.7836486928 0.9482036535 0.0585569832
11.8817863017 0.9731821875 0.0617768858
11.9799239106 1.0129534354 0.0619808839
